,ABCC1,ABL1,AKT1,ALOX5,APP,BCL2,CA3,CAPN2,CD38,CDK1,ERN1,EZH2,G6PD,HDAC2,HDAC6,HIF1A,HMOX1,IL6,JAK2,MAP2K1,MAPK8,MAPK9,MDM2,MMP2,NFE2L2,NFKB1,NOS3,NQO1,PARP1,PDGFRA,PPIA,PRKCA,PRKCD,PTGS2,RELA,SPHK1,SRC,XBP1,Type
GSM2370990,5.34058982846212,7.33782795509874,6.77728894949819,4.07380732817844,8.62017016547825,4.87552297034737,-4.227797283,7.76356675949354,-0.458330895,-0.316945962,3.17730030070796,0.140812674306284,4.56890133983735,4.68272645220864,5.28066322100206,6.00453956554824,5.71455094272713,-1.845857476,5.04883559305427,5.20939921292701,2.29996183669744,4.00813303942803,5.44603448415546,8.69015760237311,5.64495532694531,4.55517053259525,4.89382167376345,4.38967207056118,5.47062456422452,8.0274539964589,7.4923208910886,5.07151932366661,4.36364987136991,-2.298670073,4.99899227059189,5.27229509403618,4.34780823325523,5.09385190826846,0
GSM2370991,5.40746897748219,6.91567832016791,6.54982439970871,4.20497596232287,9.36271065261547,3.97000299018723,-1.353248339,7.94178174301302,-0.750899458,-0.20978865,3.80535065102259,0.182812819067005,3.96376536259091,4.94555570095076,5.07272383130208,6.72231629679294,5.3392369927996,-0.327246716,4.93921123780958,5.47261914888462,2.58564798789637,4.02496027644821,5.61275828009324,8.91196372472127,6.14784139090491,5.24207248293724,3.50384003053611,3.02968238563012,6.28799492218955,8.79100533851714,7.89214408460937,5.55583900295322,4.39776024268614,-0.750899458,5.24978346990405,4.2466768472711,4.64389221532685,6.03337136894206,0
GSM2370992,6.79320449804912,8.10352450650238,6.93508203190902,4.31700300161325,9.45787357047509,4.40663688855418,-1.842512382,8.88536197092303,-0.530764809,-2.959867878,4.6178782889708,-1.220460998,5.04969713873173,2.50842561708614,6.49448100655509,4.80404509715975,4.5911370263718,-3.45880552,3.4380397123242,4.74056915506652,0.921943521249392,3.4380397123242,5.84383643685291,8.83068673946031,4.47892129208322,3.75954727668416,3.62541030903119,2.03974738803406,5.30413460560636,7.89978265263351,6.58761219562018,6.57572607769155,5.1750342812384,-1.220460998,5.83626530516181,4.27841272342883,5.01825815210736,5.37246947035516,0
GSM2370993,7.267341596,8.12724622027103,7.416684551,3.75538943485702,9.87629088415599,4.02167165266749,-1.381744183,8.63705316567646,-1.21440023,-4.227797283,4.64506299381214,-0.07380893,5.22263087093851,3.02221990120803,6.56577736274992,4.89207462474049,5.69962857862989,-2.758610033,3.7902591962919,4.96146654368078,0.729522981617892,3.31685168940918,4.70633530969736,10.4349051364959,4.49007258905755,3.87623585226013,5.16116140896557,1.84526678158081,5.55649739586646,7.99657284090446,6.08081933719101,5.97437847158495,4.88748100742743,-4.227797283,5.87229789199317,4.91708135742307,5.92255792979821,5.54924496572606,0
GSM2370994,6.77556781416825,7.74783896931716,7.06895810902544,3.09050862517009,9.28203223981397,4.67374902961517,0.0631160799435527,8.11979612820643,-0.768139372,-4.227797283,4.1493514611587,-2.280080314,4.5802659729249,3.67676264911294,6.18290280516378,4.83661651182784,5.52948412288501,-4.227797283,4.14313829138671,5.48596060101105,-0.293452582,3.73575961009404,5.36036274089556,9.80969213959324,4.44032288024961,3.33904805689721,5.13470821890239,2.34663705353524,5.1062455272005,6.29783244685368,6.8239518058219,4.87461437588223,4.47041147127463,-1.480351504,5.22572191548745,5.89564904564728,5.15954542223222,4.74932208092123,0
GSM2370995,5.27250285743806,6.44164609695686,5.77344103162227,3.76731182885882,8.4914054552806,6.33873066588349,1.48409163030129,7.61223550181507,0.358008085785204,0.576013875936465,3.19755612197964,1.44308078137615,3.92951190387689,4.26765880333417,5.45461863530649,5.62473064554052,3.45987646541462,-2.250348562,5.67651449898955,5.25384971020583,2.94683299376525,4.88676739091722,6.04757118980383,7.915895182,6.0869294337724,5.04131169879506,2.21813101381767,4.66989584107673,5.63083070891201,8.39120395108418,6.99561986513114,4.26765880333417,4.90449981932649,-0.611653375,4.71653047904408,1.54995415471388,3.1726844718853,5.34014713350174,0
GSM2370996,5.77646455620009,6.71606765997519,6.12354499981003,4.8843127088486,9.11235184557528,5.38963061803671,1.82146898310135,7.74634887895306,-0.05043803,-0.462810266,3.51510230708764,1.32314013382955,4.11989886424778,4.06508504149944,5.6871927735007,5.62258029924223,4.57703427581995,-3.302077881,5.27712617722664,4.98070027864704,2.85429717333743,4.50106370591272,5.90050856506974,8.34670171222361,6.15984454606666,4.96968916147284,2.19115730750136,4.06301435485205,5.63378454032789,8.62928162357691,7.27250337312226,4.84869534086274,5.22622009925104,-0.723716001,5.12067243911035,2.22858862018136,3.92161468247953,5.84133033389213,0
GSM2370997,6.31170568786647,7.02560708022308,6.54783126130567,5.39683367682685,9.77325199035341,2.90959357370902,-2.966031776,7.85166605293517,-0.076045556,-0.415609833,4.35724739193565,1.06531546092988,4.50834936363959,3.97003363208058,5.78237407640052,5.96863737284666,6.04234728031711,-3.277756927,4.93275757234118,4.65511760855286,2.66567083570666,4.16863442677395,5.89216648284675,9.61708427142199,6.10310925619189,4.85430769983896,1.30197509962611,3.02428232849243,5.8745401497686,9.3969831541312,7.83934277879473,5.32883300508149,5.19321590859325,0.10164907520439,5.5082342050054,1.62638613597393,4.0327551545537,5.84675533301199,0
GSM2371036,5.50106007570764,6.47420431236807,6.31753694163794,3.52153951058945,7.67592693092199,6.36716216326493,3.18099178162047,7.81412063592957,1.63708636818768,0.985944650313828,2.83634126172818,1.42732680118064,3.96181232408605,4.73650342504531,5.18957505376163,6.21026442954988,3.68948130537586,-2.116607825,6.08451415493883,5.12784737693834,3.45315379128712,4.91447688477643,6.07979700890936,8.93315600445502,6.31070885677743,4.90703979918597,1.40336306627567,6.75312279049916,5.77704310640109,8.08813260121862,7.48523202331537,4.32601804244928,4.60347772041629,-0.310173369,4.13914534624402,1.43916103524641,3.64163129002587,5.84755983400502,1
GSM2371037,6.18156491245662,5.99260044577724,6.35433759345461,7.87875486450914,8.2043355363619,3.20755480543468,-1.228627195,7.87814446762001,3.89606821371987,3.00775311770845,3.88638800351038,3.24969210847356,3.99171633398797,4.85429199189103,5.23886109764946,6.66824295966136,7.40561180702762,-1.726078023,6.32059030072914,5.37661147274754,3.19975947436116,4.66486110727924,7.05923624437387,8.56114114532337,6.57978995277469,5.55370753533918,1.91150097596078,2.44085727902469,6.14092496717186,7.59748514677175,7.98135748961495,5.03929083327717,5.51732169586162,2.2197255725624,4.57280303722742,2.65553453212904,4.57129338010584,8.14582298170181,1
